playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8473632,2008,Josh Tordjman,ARI,G,5on5,2,5785.0,3.56,7.0,93.0,2.89,3.0,10.64,8.0,45.72,52.0,1.4,3.0,25.79,21.0,19.65,22.0,3.51,52.0,10.0,2.0,1.67,1.36,0.53,3.0,3.0,1.0,29.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,4on5,2,336.0,0.42,0.0,5.0,0.27,0.0,0.8,1.0,3.04,3.0,0.0,0.0,1.58,0.0,0.83,3.0,0.42,3.0,0.0,1.0,0.16,0.0,0.27,0.0,0.0,0.0,1.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,5on4,2,673.0,0.32,0.0,5.0,0.14,0.0,0.26,0.0,2.58,3.0,0.67,0.0,0.73,1.0,2.48,3.0,0.32,3.0,0.0,1.0,0.08,0.0,0.24,0.0,0.0,0.0,1.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,other,27,2255.0,4.8,4.0,71.0,2.69,4.0,7.84,11.0,39.35,41.0,1.29,1.0,21.55,21.0,16.89,15.0,4.7,43.0,9.0,5.0,1.61,1.22,1.97,1.0,1.0,2.0,14.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,all,27,85293.0,59.31,66.0,1210.0,47.4,55.0,157.18,147.0,685.39,665.0,21.93,24.0,385.48,322.0,287.9,360.0,56.36,756.0,145.0,60.0,21.84,17.57,19.9,21.0,24.0,21.0,249.0,2.0,1.0
8467391,2008,Jason LaBarbera,VAN,G,5on5,27,63907.0,37.85,44.0,887.0,32.3,35.0,120.51,112.0,499.09,490.0,15.76,21.0,280.82,236.0,214.58,267.0,36.89,567.0,101.0,34.0,16.79,12.12,8.95,18.0,18.0,8.0,185.0,2.0,1.0
8467391,2008,Jason LaBarbera,VAN,G,4on5,27,9981.0,14.11,14.0,218.0,11.3,14.0,25.65,23.0,125.77,115.0,0.62,0.0,76.63,61.0,42.33,61.0,12.37,126.0,31.0,17.0,2.74,3.66,7.71,0.0,4.0,10.0,44.0,0.0,0.0
8467391,2008,Jason LaBarbera,VAN,G,5on4,27,9150.0,1.92,4.0,28.0,0.88,2.0,2.63,0.0,17.94,18.0,4.0,2.0,5.26,3.0,12.79,15.0,1.78,19.0,2.0,3.0,0.67,0.29,0.97,2.0,1.0,1.0,4.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,other,3,188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8471305,2008,Daniel Lacosta,CBJ,G,all,3,9341.0,5.7,4.0,141.0,4.99,3.0,18.38,11.0,78.59,80.0,2.28,2.0,44.85,34.0,34.65,54.0,5.46,96.0,9.0,7.0,2.34,0.95,2.41,2.0,1.0,1.0,29.0,0.0,0.0
